1,Freebox,La Freebox est un appareil électronique fourni par le fournisseur d'accès à Internet français Free à ses abonnés haut débit et très haut débit. La Freebox a connu de multiples versions et sous-versions différentes depuis son premier lancement.,freebox.jpg
2,Bioraphinerie,"Les bioraffineries sont des installations qui transforment la biomasse en biocarburant, chaleur et puissance (bioénergie), ainsi qu'en produits chimiques à valeur ajoutée, biomatériaux, produits destinés à l'alimentation humaine, animale, etc",tartas.jpg
3,Voiture,Une voiture ou une automobile est un véhicule automobile à roues propulsé par un moteur destiné au transport terrestre de personnes et de petits objets.,Audi_A5.jpg
4,Barrage,"Un barrage est un ouvrage d'art construit en travers d'un cours d'eau et destiné à réguler le débit du cours d'eau et/ou à en stocker l'eau pour différents usages tels que : contrôle des crues, irrigation, industries, hydroélectricité, pisciculture, réserve d'eau potable, etc",barrage.jpg
5,Remplissage toners,"Le toner ou encre en poudre est l'encre utilisée dans les appareils d'impression photo-électrique, procédé appelé xérographie (inventé par la compagnie Xerox), comme les imprimantes laser et les photocopieurs. Ils sont remplis industriellement par des systèmes automatisés.",remplissage_toners.jpg
6,Treuil électrique,"Un treuil est un dispositif mécanique permettant de commander l'enroulement et le déroulement d'un câble, d'une chaîne ou de tout autre type de filin destiné à porter ou à tracter une charge",treuil.jpg
7,Pompe Milroyal,Une pompe est un dispositif permettant d'aspirer et de refouler un fluide.,pompe.jpg
8,Chaise de dentiste,La chaise de dentiste est un système permettant de positionner le patient afin de faciliter le travail du praticien,chaise_dentiste.jpg
9,Machine de dépose joint,"Cette machine permet de déposer un joint d'étanchéité liquide sur une pièce. La mise en oeuvre est réalisée par un robot 6 axes de dernière génération, permettant la réalisation de trajectoires des plus complexes avec une très grande précision.",depose_joint.jpg
10,Moteur à explosion,Moteur à explosion est un terme communément mais improprement utilisé pour désigner un des moteur à combustion interne qui enflamme le carburant grâce à une bougie,moteur_laguna.jpg
11,Trombone à coulisse,Le trombone à coulisse est un instrument de musique à vent et à embouchure de la famille des cuivres clairs. C'est l'un des rares instruments à vent dont la maîtrise ne nécessite pas l'utilisation individuelle des doigts.,trombone.png
12,Robot de soudage,Un robot de soudage permet de positionner une torche de soudage sur une pièce de manière automatisée,robot_soudage.jpg
13,Machine d'essai de traction,"Une machine de traction (ou machine d'essais mécaniques ou encore machine d'essais universelle) est un appareil de laboratoire utilisé pour réaliser divers essais mécaniques, en général normalisés, sur des éprouvettes ou des pièces de matériau ayant éventuellement subi un vieillissement.",traction.jpg
14,E.P.A.S,Une E.P.A.S. est une Echelle Pivotante Automatique à commande Séquentielle.  Ce système est monté sur le châssis d’un camion de pompiers et permet de déplacer une plate-forme pouvant recevoir deux personnes et un brancard le plus rapidement possible et en toute sécurité. ,epas.jpg
15,Borne de calage,Une borne de calage est un système de calage dont la hauteur est réglable par l'intermédiaire d'une vis,cale_reglable.jpg
16,Grue à tour,Une grue à tour est un appareil de levage et de manutention. C'est un type de grue servant sur les chantiers à la construction d’infrastructures et de bâtiments  on la trouve également sur les chantiers navals. ,grue.jpg
17,Poste de palettisation,Un poste de palettisation permet de remplir des palettes de manière automatisée,palettiseur.jpg
18,Décocheuse industrielle,"Une décocheuse est utilisée avec de détruire le moule en sable autour d'une pièce. Pour cela, elle entraine la pièce en vibration pour évacuer le sable et les noyaux restant dans ses cavités.",decocheuse.jpg
19,Banc d'épreuve hydraulique,Un banc d'épreuve hydraulique permet de tester la résistance en pression de tubes.,banc_epreuve.jpg
20,Chaudière à bois,Une chaudière à bois permet de créer de la chaleur à partir de la combustion du bois.,chaudiere_bois.jpg
